state_name,district,stcode,dtcode,year,flood_events,affected_area,fatalities,displaced,max_severity,max_flood_impact_index,flood_occurred
Andhra Pradesh,Guntur,28,506,2010,1,63171.41172685,27,50000,1.0,5.6456186224386,1
Andhra Pradesh,Guntur,28,506,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,Guntur,28,506,2016,1,137435.40460325,17,3000,1.5,6.7291632323494,1
Andhra Pradesh,Guntur,28,506,2019,1,302736.26273672,25,112500,1.5,6.3561257086734,1
Andhra Pradesh,Guntur,28,506,2020,1,125991.05614617,6,2100,1.5,6.2764309755682,1
Andhra Pradesh,Krishna,28,510,1986,1,107355.33281993,150,3000000,1.0,5.933913609651,1
Andhra Pradesh,Krishna,28,510,1988,1,94871.792387788,50,0,1.0,5.4542583603891,1
Andhra Pradesh,Krishna,28,510,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Krishna,28,510,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Krishna,28,510,1991,1,599564.88825453,90,85000,1.0,6.5559874421319,1
Andhra Pradesh,Krishna,28,510,1994,2,2092494.9922392298,847,816000,1.0,7.6772792647922,1
Andhra Pradesh,Krishna,28,510,1995,1,262803.20430156,94,12000,1.0,6.0216906475049,1
Andhra Pradesh,Krishna,28,510,1996,2,198972.474590473,2826,240000,2.0,5.9482344637432,1
Andhra Pradesh,Krishna,28,510,1997,2,465533.04904697894,38,20000,1.0,6.3634860780538,1
Andhra Pradesh,Krishna,28,510,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Krishna,28,510,2000,1,129459.75891805,162,3000000,2.0,6.3674072990361,1
Andhra Pradesh,Krishna,28,510,2001,2,131911.01071193902,155,59000,1.0,5.71958564905,1
Andhra Pradesh,Krishna,28,510,2005,2,993646.6687805101,215,650000,1.0,7.1897694283678,1
Andhra Pradesh,Krishna,28,510,2006,3,533739.047304208,252,2225000,1.0,7.093902822695,1
Andhra Pradesh,Krishna,28,510,2007,2,540844.064056827,221,220000,1.0,6.7677001834385,1
