time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.6,94,0.429,0.412
1985-09-11T01:00,,24.4,95,0.431,0.414
1985-09-11T02:00,,24.6,94,0.426,0.416
1985-09-11T03:00,,25.8,88,0.422,0.417
1985-09-11T04:00,,26.4,87,0.42,0.417
1985-09-11T05:00,,27.2,85,0.417,0.417
1985-09-11T06:00,,27.9,83,0.42,0.416
1985-09-11T07:00,,26.2,90,0.426,0.417
1985-09-11T08:00,,26.5,89,0.424,0.417
1985-09-11T09:00,,26.8,86,0.42,0.418
1985-09-11T10:00,,27.0,85,0.418,0.417
1985-09-11T11:00,,27.5,82,0.415,0.417
1985-09-11T12:00,,27.2,81,0.413,0.417
1985-09-11T13:00,,26.7,83,0.411,0.416
1985-09-11T14:00,,26.3,85,0.41,0.416
1985-09-11T15:00,,26.1,86,0.409,0.416
1985-09-11T16:00,,25.9,87,0.407,0.415
1985-09-11T17:00,,25.7,88,0.406,0.415
1985-09-11T18:00,,25.7,88,0.405,0.415
1985-09-11T19:00,,25.7,89,0.404,0.414
1985-09-11T20:00,,25.5,90,0.404,0.414
1985-09-11T21:00,,25.3,90,0.403,0.414
1985-09-11T22:00,,25.1,91,0.402,0.413
1985-09-11T23:00,,24.9,92,0.401,0.413
1985-09-12T00:00,,24.8,92,0.401,0.413
1985-09-12T01:00,,25.3,91,0.4,0.412
1985-09-12T02:00,,26.8,86,0.399,0.412
1985-09-12T03:00,,28.2,80,0.397,0.411
1985-09-12T04:00,,29.4,75,0.395,0.41
1985-09-12T05:00,,30.2,71,0.393,0.408
1985-09-12T06:00,,30.9,68,0.39,0.407
1985-09-12T07:00,,31.7,66,0.387,0.405
1985-09-12T08:00,,32.0,66,0.384,0.404
1985-09-12T09:00,,31.9,66,0.382,0.402
1985-09-12T10:00,,31.0,70,0.389,0.402
1985-09-12T11:00,,30.3,74,0.389,0.401
1985-09-12T12:00,,29.7,78,0.389,0.401
1985-09-12T13:00,,28.8,81,0.389,0.4
1985-09-12T14:00,,28.3,83,0.388,0.4
1985-09-12T15:00,,27.8,84,0.388,0.4
1985-09-12T16:00,,27.5,85,0.388,0.4
1985-09-12T17:00,,27.2,86,0.387,0.399
1985-09-12T18:00,,26.8,88,0.389,0.399
1985-09-12T19:00,,26.4,89,0.391,0.399
1985-09-12T20:00,,26.0,90,0.393,0.399
1985-09-12T21:00,,25.7,91,0.394,0.398
1985-09-12T22:00,,25.6,91,0.394,0.398
1985-09-12T23:00,,25.3,91,0.393,0.398
1985-09-13T00:00,,25.1,91,0.392,0.398
1985-09-13T01:00,,25.5,91,0.392,0.398
1985-09-13T02:00,,27.0,85,0.391,0.398
1985-09-13T03:00,,28.5,79,0.39,0.397
1985-09-13T04:00,,29.6,74,0.388,0.396
1985-09-13T05:00,,30.2,73,0.386,0.395
1985-09-13T06:00,,30.9,74,0.383,0.394
1985-09-13T07:00,,31.8,68,0.381,0.393
1985-09-13T08:00,,31.1,70,0.394,0.392
1985-09-13T09:00,,30.6,72,0.408,0.392
1985-09-13T10:00,,30.3,72,0.406,0.392
1985-09-13T11:00,,29.1,77,0.406,0.392
1985-09-13T12:00,,28.7,80,0.404,0.392
1985-09-13T13:00,,28.1,83,0.402,0.393
1985-09-13T14:00,,27.6,84,0.401,0.393
1985-09-13T15:00,,27.1,86,0.4,0.393
1985-09-13T16:00,,26.9,86,0.398,0.393
1985-09-13T17:00,,26.7,87,0.397,0.393
1985-09-13T18:00,,26.3,88,0.402,0.393
1985-09-13T19:00,,26.2,89,0.402,0.393
1985-09-13T20:00,,25.6,90,0.408,0.394
1985-09-13T21:00,,25.0,92,0.409,0.394
1985-09-13T22:00,,24.7,93,0.408,0.395
1985-09-13T23:00,,24.5,94,0.406,0.395
